lib,config,ef,recall,p50_ms,p95_ms,p99_ms,qps
annexdb,m16,32,0.8687,0.464125,1.0358749999999999,1.331292,1867.6558833053193
annexdb,m16,64,0.89655,0.720083,1.394625,1.836416,1295.8068381382889
annexdb,m16,128,0.92125,1.288792,2.298042,3.0725420000000003,734.8652211255379
annexdb,m16,256,0.94205,2.099,2.66475,2.860334,501.14768055841137
annexdb,m16,512,0.9643,4.036416,4.7860000000000005,4.968833,264.3893694202839
annexdb,m16+sq8,32,0.8687,0.19525,0.3005,0.356792,4963.32721603254
annexdb,m16+sq8,64,0.89655,0.325084,0.484875,0.574625,3016.528318823973
annexdb,m16+sq8,128,0.92125,0.586459,0.807667,0.891583,1708.938811920924
annexdb,m16+sq8,256,0.94205,1.087625,1.4055840000000002,1.518709,946.0395215275701
annexdb,m16+sq8,512,0.9643,2.083042,2.516959,2.640291,501.59977951399196
annexdb,m16+rcm,32,0.8687,0.390459,0.7362920000000001,1.0304170000000001,2364.3656969435915
annexdb,m16+rcm,64,0.89655,0.683542,1.317833,1.7199170000000001,1361.6414821179953
annexdb,m16+rcm,128,0.92125,1.248042,2.3549170000000004,3.0005409999999997,770.8080595326884
annexdb,m16+rcm,256,0.94205,2.380209,4.079417,4.9503330000000005,416.5103451277609
annexdb,m16+rcm,512,0.9643,4.579084,7.058208,8.828417,221.01297834466854
annexdb,m16+rcm+sq8,32,0.8687,0.219167,0.364333,0.5563750000000001,4312.158592120237
annexdb,m16+rcm+sq8,64,0.89655,0.376125,0.772833,1.0199580000000001,2442.6337271190287
annexdb,m16+rcm+sq8,128,0.92125,0.681875,1.379541,1.878125,1370.622332838328
annexdb,m16+rcm+sq8,256,0.94205,1.256458,2.154917,3.08875,771.5786188676058
annexdb,m16+rcm+sq8,512,0.9643,2.460917,4.270875,5.442125,397.0118703075368
annexdb,m24,32,0.8683,0.42008300000000004,0.909083,1.298875,2059.01338255748
annexdb,m24,64,0.89645,0.7,1.2745,1.8363749999999999,1343.9017028579822
annexdb,m24,128,0.922,1.285542,2.2641660000000003,3.18175,754.3133523269436
annexdb,m24,256,0.9431,2.423292,4.259167000000001,5.176417,408.3761626341733
annexdb,m24,512,0.964,4.620792000000001,7.838667000000001,9.335958,214.9253147824262
annexdb,m24+sq8,32,0.8683,0.228166,0.460292,0.638333,3888.24345343643
annexdb,m24+sq8,64,0.89645,0.385084,0.8155410000000001,1.168041,2325.3342177292466
annexdb,m24+sq8,128,0.922,0.688583,1.358583,1.869833,1352.002993042594
annexdb,m24+sq8,256,0.9431,1.3014999999999999,2.684708,3.242,719.9484518636342
annexdb,m24+sq8,512,0.964,2.492625,4.743083,5.803541,384.1101996306671
annexdb,m24+rcm,32,0.8683,0.421083,0.827875,1.756958,2040.1461676594815
annexdb,m24+rcm,64,0.89645,0.713792,1.382917,2.002458,1289.5565424603417
annexdb,m24+rcm,128,0.922,1.37875,2.492667,3.488416,698.9641089793386
annexdb,m24+rcm,256,0.9431,2.668292,4.754458,5.920459,369.7738703362039
annexdb,m24+rcm,512,0.964,4.691,8.035667,9.81575,213.11146817805002
annexdb,m24+rcm+sq8,32,0.8683,0.225083,0.39120900000000003,0.595084,4129.0933452034305
annexdb,m24+rcm+sq8,64,0.89645,0.399125,0.8175,1.177667,2224.1615675445896
annexdb,m24+rcm+sq8,128,0.922,0.696541,1.442,2.027125,1307.255332457908
annexdb,m24+rcm+sq8,256,0.9431,1.3245,2.1765,3.015416,734.7123351442451
annexdb,m24+rcm+sq8,512,0.964,2.516375,4.994458,5.890042,379.6269465142483
annexdb,m32,32,0.8675,0.437042,0.834625,1.200375,2078.322627373899
annexdb,m32,64,0.8939,0.757167,1.527833,2.191416,1204.0167810657592
annexdb,m32,128,0.91955,1.321333,2.55875,3.343708,714.8871984172129
annexdb,m32,256,0.9416,2.4472919999999996,4.441084,5.33275,403.7741578078616
annexdb,m32,512,0.9636,4.812083,8.337499999999999,10.098083,203.4184487397871
annexdb,m32+sq8,32,0.8675,0.235791,0.47362499999999996,0.726958,3799.2375295005095
annexdb,m32+sq8,64,0.8939,0.38249999999999995,0.723125,0.9205,2415.5053744137076
annexdb,m32+sq8,128,0.91955,0.6915,1.338125,1.7619580000000001,1363.5822845827672
annexdb,m32+sq8,256,0.9416,1.3085,2.444292,3.17475,736.8581353404181
annexdb,m32+sq8,512,0.9636,2.650709,4.680208,6.0520000000000005,362.0958706014081
annexdb,m32+rcm,32,0.8675,0.461916,0.924083,1.5012910000000002,1899.829433693409
annexdb,m32+rcm,64,0.8939,0.8214579999999999,1.593875,2.132583,1141.3820415775938
annexdb,m32+rcm,128,0.91955,1.491542,2.483875,3.665791,655.4738854904111
annexdb,m32+rcm,256,0.9416,2.811209,4.6234589999999995,5.977834,354.4898854779943
